epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,4383.16,3.23267,3.12707,3.0781,0.55437,0.09722,0.13613,0.05175,2.61608,3.8731,3.86332,0.0004357,0.0004357,0.0004357
59,4446.18,3.06015,2.90802,3.00624,0.71863,0.11806,0.15524,0.05074,2.58501,3.89047,3.85251,0.0004258,0.0004258,0.0004258
60,4512.61,2.96939,3.03134,2.99907,0.77508,0.13052,0.15241,0.04577,2.57257,3.8913,3.83935,0.0004159,0.0004159,0.0004159
61,4579.9,2.98358,2.8422,2.94832,0.77508,0.13052,0.15241,0.04577,2.57257,3.8913,3.83935,0.000406,0.000406,0.000406
62,4646.38,2.94522,2.86293,2.91223,0.7622,0.09722,0.16132,0.04594,2.58896,3.86906,3.81712,0.0003961,0.0003961,0.0003961
63,4710.11,2.92216,2.63142,2.86187,0.78801,0.04167,0.1663,0.04277,2.59699,3.89074,3.81534,0.0003862,0.0003862,0.0003862
64,4775.46,2.99308,2.73023,2.93576,0.79737,0.11564,0.18453,0.04333,2.59295,3.85237,3.79167,0.0003763,0.0003763,0.0003763
65,4841.21,2.93382,2.65995,2.89285,0.79737,0.11564,0.18453,0.04333,2.59295,3.85237,3.79167,0.0003664,0.0003664,0.0003664
66,4903.82,2.92619,2.69826,2.86259,0.63583,0.13095,0.18413,0.03927,2.57517,3.86491,3.81974,0.0003565,0.0003565,0.0003565
67,4969.02,2.83297,2.73143,2.88568,0.7604,0.12544,0.18445,0.03587,2.54175,3.89592,3.82756,0.0003466,0.0003466,0.0003466
68,5034.27,3.02121,2.88551,2.94272,0.66386,0.07639,0.12371,0.02955,2.52656,3.93141,3.83682,0.0003367,0.0003367,0.0003367
69,5103.01,2.95571,2.79866,2.9075,0.66386,0.07639,0.12371,0.02955,2.52656,3.93141,3.83682,0.0003268,0.0003268,0.0003268
70,5169.13,2.82964,2.9043,2.94448,0.49756,0.1278,0.13138,0.0338,2.52363,3.94015,3.83127,0.0003169,0.0003169,0.0003169
71,5246.82,2.95638,2.72344,2.85,0.49374,0.11349,0.09332,0.02901,2.53408,3.93142,3.81619,0.000307,0.000307,0.000307
72,5320.91,2.99991,2.75826,2.8335,0.37,0.04167,0.05838,0.02165,2.57489,3.93942,3.83053,0.0002971,0.0002971,0.0002971
73,5394.72,2.97897,2.85993,2.94447,0.37,0.04167,0.05838,0.02165,2.57489,3.93942,3.83053,0.0002872,0.0002872,0.0002872
74,5475.53,2.92415,2.98883,2.84561,0.35426,0.02083,0.06737,0.02076,2.58983,3.92064,3.8266,0.0002773,0.0002773,0.0002773
75,5543.18,2.78382,2.63765,2.81792,0.46509,0.07639,0.10449,0.0246,2.592,3.89834,3.83219,0.0002674,0.0002674,0.0002674
